bathrooms,bedrooms,price,num_desc_words
1.0,1,2500,107
1.0,0,1300,89
1.0,3,4050,119
1.0,1,3200,88
1.0,3,3400,62
1.0,1,2195,91
1.0,0,2200,149
1.0,1,3500,140
1.0,1,2795,73
1.0,0,2950,225
1.0,2,2850,104
1.0,1,1995,115
2.0,3,5400,104
1.0,2,2000,82
1.0,1,2800,36
1.0,1,2895,40
1.0,3,2800,19
2.0,2,4510,50
1.0,3,5995,45
1.0,1,2383,90
2.0,2,5450,63
1.0,2,5200,116
1.0,0,1825,50
1.0,1,1800,35
1.0,3,2400,81
1.0,1,1550,85
1.0,0,3250,249
1.0,1,3688,128
1.0,4,3697,114
1.0,1,2900,55
1.0,2,3450,104
1.0,1,1900,89
1.0,2,4995,57
2.0,2,6850,128
1.0,2,3400,49
1.0,1,3850,150
1.0,3,5000,153
1.0,1,2150,105
1.0,1,3350,121
1.0,2,4400,121
1.0,0,3000,119
1.0,1,3505,92
1.0,1,1750,60
1.0,0,2275,119
1.0,1,2950,0
1.0,3,4180,210
1.0,3,4650,34
2.0,2,7310,186
1.0,2,2450,93
1.0,3,4450,136
1.0,1,3475,63
1.0,0,2600,85
1.0,1,1995,36
1.0,2,4495,29
1.0,3,2700,97
1.0,0,2773,273
1.0,0,1695,90
1.0,4,5000,0
1.0,3,5095,117
1.0,0,2350,112
1.0,4,4480,201
1.0,0,3200,0
1.0,2,4247,0
1.0,1,2400,103
1.0,1,2775,104
1.5,4,3595,49
1.0,1,2850,185
1.0,0,2300,39
1.0,1,2498,16
1.0,3,3200,101
1.0,0,1950,55
2.0,3,3400,88
2.0,2,3500,111
1.0,2,3200,113
1.0,1,3750,219
1.0,3,2700,0
1.0,4,4695,100
1.0,1,2550,59
1.0,0,1500,75
1.0,1,2495,14
1.0,0,1795,44
1.0,3,1795,24
2.0,3,2895,118
1.0,1,2600,59
1.0,2,2017,91
2.0,3,4880,174
1.0,0,1895,54
1.0,2,-3200,0
2.0,2,3600,61
1.0,1,2595,36
1.0,2,2350,0
1.0,1,3100,130
1.0,1,2150,137
1.0,3,4024,0
1.0,3,4600,70
1.0,0,2300,75
2.0,3,5400,144
1.0,1,3570,114
2.0,3,5800,178
1.0,0,2950,85
3.0,3,8000,92
1.0,2,2700,93
1.0,1,-3855,15
2.0,2,3900,44
1.0,1,3650,107
1.0,1,3620,110
1.0,0,2595,104
1.0,1,2390,41
1.0,0,1938,139
1.0,0,2200,206
1.0,1,2595,0
1.0,1,3995,84
2.0,2,2350,57
1.0,2,3295,54
2.0,3,6495,109
1.0,2,1900,118
1.0,3,3950,123
1.0,1,4895,0
1.0,3,3725,25
1.0,2,3700,127
1.0,2,3150,38
1.0,1,2650,62
1.0,0,2900,96
1.0,3,3500,140
1.0,2,-3400,113
1.0,2,2000,23
1.0,1,2650,97
1.0,0,2595,22
2.0,2,2800,83
4.0,5,15000,186
3.0,3,6600,0
1.0,2,3289,107
1.0,1,3500,182
1.0,0,2384,47
1.0,1,3400,96
1.0,2,3150,53
2.0,3,5495,6
1.0,2,3200,214
1.0,1,2850,126
1.0,3,4500,71
1.0,1,3595,120
1.0,1,2900,173
1.0,2,3500,65
1.0,0,1900,111
1.0,0,1825,27
2.0,2,3895,82
1.0,1,2990,42
1.0,2,-3200,105
2.0,2,6495,130
1.0,2,3395,196
1.0,1,2795,101
2.0,3,5700,92
1.0,0,3300,117
1.0,1,2465,39
1.0,1,2579,105
2.0,3,4800,55
1.0,0,3150,38
1.0,2,3300,67
1.0,2,2100,153
1.0,3,5395,72
1.0,1,1950,94
1.0,0,1800,52
2.0,3,7500,79
1.0,0,2695,83
1.0,1,4150,32
1.0,3,2450,241
1.0,0,2500,46
1.0,1,3300,123
1.0,0,2800,93
2.0,4,6450,212
2.0,2,6179,0
2.0,2,-4500,72
1.0,2,5100,66
2.0,3,4700,111
2.0,2,5072,147
2.0,2,6185,177
2.0,3,4750,110
1.0,1,3635,101
1.0,1,1725,0
1.0,1,1400,74
1.0,0,3430,98
2.0,3,7675,106
1.0,1,1875,18
1.0,0,2795,171
1.0,0,2780,70
1.0,1,2400,99
3.0,6,12450,142
1.0,1,3975,70
1.0,3,4350,38
1.0,1,2900,82
3.0,2,12500,30
1.0,0,3600,0
1.0,2,3650,55
1.0,1,3825,103
1.0,2,2175,0
1.0,2,3000,112
2.0,2,2750,58
1.0,2,2995,86
1.0,1,1050,25
1.0,1,2599,81
1.0,3,-5050,94
1.0,1,-3800,49
1.0,1,5460,131
1.0,1,4300,55
1.0,0,2300,105
1.0,1,2770,166
3.0,3,14500,180
1.0,1,2050,100
1.0,2,1895,36
3.0,5,11995,111
1.0,1,3395,76
1.0,3,-4195,103
1.0,2,3175,15
1.0,1,1900,2
1.0,3,3250,109
1.0,1,4134,0
1.0,1,3695,121
3.0,4,6100,102
1.0,2,3500,105
1.0,1,3675,0
1.0,0,2150,54
1.0,1,1295,111
2.0,3,5000,121
2.0,3,5095,68
1.0,2,2195,33
1.0,0,2350,98
1.0,2,3695,74
1.0,1,3190,97
1.0,1,2800,64
1.0,1,3150,27
1.0,1,3200,94
1.0,1,2350,0
1.0,0,2600,106
1.0,0,2695,97
1.0,3,5299,100
1.0,1,2245,2
1.0,2,2800,95
1.0,1,2650,0
1.0,1,2600,44
1.0,1,2500,272
1.0,0,2100,129
1.0,2,4031,63
0.0,1,3743,0
1.0,1,2800,144
1.0,2,1650,22
1.0,0,2711,183
1.0,4,3000,22
1.0,3,5095,86
1.0,2,5250,57
1.0,0,2550,37
1.0,0,2495,75
3.0,4,18500,92
1.0,1,1450,0
1.0,2,4156,15
1.0,1,1450,108
1.0,1,1070000,130
1.0,0,2200,56
2.0,2,4950,135
1.0,2,3050,97
2.0,4,7000,174
2.0,3,4200,77
1.0,1,4095,94
1.0,1,2700,107
1.0,1,3885,115
1.0,1,2750,145
1.0,0,3530,0
1.0,0,3030,310
1.0,1,3223,80
1.0,0,2395,57
1.0,1,2750,37
1.0,2,2600,117
1.0,1,2295,2
1.0,1,2800,61
1.0,1,2350,25
2.0,2,5895,26
1.0,2,2925,117
2.0,3,5000,102
2.0,3,6780,44
2.0,4,5900,66
1.0,0,3494,97
1.0,3,-2000,32
1.0,2,3450,96
1.0,0,1650,87
1.0,1,2175,84
1.0,3,2900,73
1.0,2,3450,0
1.0,1,3950,38
1.0,0,1950,45
1.0,3,2100,24
1.0,0,2356,436
1.0,0,2600,157
1.0,3,5500,73
1.0,1,1275,23
1.0,2,3500,92
1.0,1,-3345,156
1.0,1,2225,86
2.0,3,5295,80
1.0,1,1995,87
2.0,2,5250,123
1.0,1,3750,0
1.0,1,1550,46
1.0,1,2400,62
1.0,0,1825,31
1.0,0,3346,62
1.0,0,2050,0
1.0,1,3500,144
1.0,2,4060,145
1.0,1,2995,39
1.0,1,2800,50
1.0,0,2300,48
1.0,1,3750,0
1.0,2,-2500,47
1.0,2,1950,63
1.0,2,1800,115
1.0,1,-3295,0
1.0,1,3200,45
1.0,1,3300,135
1.0,4,5400,136
2.0,2,3570,199
1.0,0,2095,95
1.0,2,3900,242
1.0,0,3865,0
1.0,2,3150,189
2.0,3,5200,88
1.0,3,2999,54
1.0,2,3570,2
1.0,3,2095,15
2.0,3,4400,80
2.0,3,6595,90
1.0,0,2665,82
1.0,0,3000,83
2.0,2,6100,60
1.0,1,1500,111
1.0,0,2936,69
1.0,0,1800,53
1.0,1,2100,91
1.0,2,2400,188
1.0,2,2230,68
1.0,0,2450,171
1.0,1,1700,82
1.0,1,1800,75
1.0,1,2700,156
2.0,3,4762,194
1.0,3,4500,80
1.0,0,3350,0
1.0,2,1925,136
1.0,3,2600,72
1.0,2,1775,0
1.0,1,3000,38
2.0,3,5500,126
1.0,0,2695,43
2.0,3,5237,121
1.0,1,9095,59
1.0,1,2595,130
1.0,0,2950,50
5.0,4,85000,370
1.0,1,2795,107
1.5,3,3300,2
1.0,1,2100,90
2.0,2,4425,0
1.0,0,2695,64
1.0,1,1600,134
1.0,1,2295,34
1.0,3,4100,87
1.0,2,4095,66
2.0,2,5000,57
1.0,3,5200,148
2.0,3,2925,0
1.0,3,5275,160
1.0,2,2050,97
1.0,0,2650,149
2.0,4,-5500,0
1.0,2,3350,2
1.0,2,3100,90
1.0,0,2780,92
1.0,2,3900,51
1.0,3,3200,193
1.0,3,4500,83
1.0,0,2400,46
1.5,2,4450,113
1.0,2,6397,86
1.0,0,2300,2
1.0,1,2200,104
1.0,0,2400,101
1.0,2,2700,59
1.0,1,2200,96
1.0,1,3000,112
2.0,2,5700,115
1.0,0,-3000,189
1.0,1,2000,66
1.0,2,2600,192
1.0,1,3400,103
1.0,3,2200,51
1.0,2,2895,0
1.0,2,2000,0
1.0,1,2475,107
2.0,3,-16000,2
1.0,1,2300,146
1.0,1,1700,74
1.0,0,2600,92
1.0,1,1450,109
1.0,1,3150,61
1.0,0,1725,171
1.0,2,2775,177
1.0,3,4700,72
1.0,0,2550,57
1.0,0,2990,51
2.0,2,3112,357
1.0,2,2050,71
1.0,1,2995,181
1.0,2,3550,46
1.0,2,3598,126
2.0,2,2600,67
1.0,2,3800,156
1.0,2,3100,105
2.0,3,3499,110
1.0,1,2625,63
1.0,2,1650,30
1.0,2,3750,47
